selection_rank	paper_id	doi	year	journal	title	story_archetype	main_axis	final_claim_type	template_path
1	S0113	10.1038/s41591-025-03592-z	2025	Nat Med	Single-cell profiling of the human endometrium in polycystic ovary syndrome.	disease_niche;intervention_response	condition;intervention;cell_subtype	manually enhanced pilot template	story_templates/papers/S0113.md
2	S0097	10.1038/s41467-025-62793-9	2025	Nat Commun	Charting the spatial transcriptome of the human cerebral cortex at single-cell resolution.	spatial_atlas;anatomical_domain	anatomy;layer;region	manually enhanced pilot template	story_templates/papers/S0097.md
3	S0106	10.1038/s41586-025-08757-x	2025	Nature	Spatially resolved mapping of cells associated with human complex traits.	method;cross_dataset_trait_mapping	trait;microdomain;cross_species	manually enhanced pilot template	story_templates/papers/S0106.md
4	S0077	10.1038/s41421-024-00740-6	2024	Cell Discov	A spatiotemporal transcriptomic atlas of mouse placentation.	developmental_timecourse;regulatory_network	time;anatomical_interface;perturbation	manually enhanced pilot template	story_templates/papers/S0077.md
5	S0053	10.1016/j.isci.2024.108941	2024	iScience	Effects of flora deficiency on the structure and function of the large intestine.	condition_spatial_function;microbiome_effect	condition;anatomical_layer	manually enhanced pilot template	story_templates/papers/S0053.md
6	S0011	10.1002/imt2.272	2025	Imeta	Cross-tissue multi-omics analyses reveal the gut microbiota's absence impacts organ morphology, immune homeostasis, bile acid and lipid metabolism.	cross_tissue_atlas;multiomics_condition	condition;tissue;metabolism	manually enhanced pilot template	story_templates/papers/S0011.md
7	S0069	10.1016/j.xcrm.2023.101231	2023	Cell Rep Med	Cancer-associated fibroblasts undergoing neoadjuvant chemotherapy suppress rectal cancer revealed by single-cell and spatial transcriptomics.	disease_niche;therapy_response	therapy;response;cell_state	manually enhanced pilot template	story_templates/papers/S0069.md
8	S0070	10.1016/j.xcrm.2024.101914	2025	Cell Rep Med	High cellular plasticity state of medulloblastoma local recurrence and distant dissemination.	tumor_progression;cell_state_mechanism	progression;cell_state;validation	manually enhanced pilot template	story_templates/papers/S0070.md
9	S0178	10.3389/fcell.2022.878346	2022	Front Cell Dev Biol	A Cellular Resolution Spatial Transcriptomic Landscape of the Medial Structures in Postnatal Mouse Brain.	spatial_atlas;anatomical_domain	anatomy;cell_type;region	manually enhanced pilot template	story_templates/papers/S0178.md
10	S0140	10.1097/hc9.0000000000000662	2025	Hepatol Commun	Integrative single-cell and spatial transcriptome analysis reveals heterogeneity of human liver progenitor cells.	cell_state_trajectory;spatial_localization	condition;cell_state;trajectory	manually enhanced pilot template	story_templates/papers/S0140.md
11	S0114	10.1038/s41592-024-02316-4	2024	Nat Methods	Deciphering spatial domains from spatial multi-omics with SpatialGlue.	method_or_workflow	method	method benchmark or reusable workflow	story_templates/papers/S0114.md
12	S0048	10.1016/j.ebiom.2024.105363	2024	EBioMedicine	Chronic lung inflammation and CK14+ basal cell proliferation induce persistent alveolar-bronchiolization in SARS-CoV-2-infected hamsters.	disease_or_condition	condition	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0048.md
13	S0010	10.1002/ctm2.669	2022	Clin Transl Med	Clinical challenges of tissue preparation for spatial transcriptome.	spatial_transcriptomics_case_study	anatomy	descriptive spatial atlas and reusable tissue map	story_templates/papers/S0010.md
14	S0071	10.1016/j.xcrm.2025.102140	2025	Cell Rep Med	Targeting mitochondrial complex I of CD177+ neutrophils alleviates lung ischemia-reperfusion injury.	disease_or_condition;immune_niche	condition;cell_state	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0071.md
15	S0105	10.1038/s41586-024-07563-1	2024	Nature	Multiscale topology classifies cells in subcellular spatial transcriptomics.	spatial_transcriptomics_case_study	anatomy	descriptive spatial atlas and reusable tissue map	story_templates/papers/S0105.md
